epoch,train_data_loss,train_physics_loss,validation_one_step_rmse_c,validation_rollout_rmse_c,learning_rate
1.0,5.464136235226075,348.60913527205184,0.28565146260851465,26.825349807739258,0.001
10.0,0.04852977234251711,6.8602946310890225,0.045968453343348745,2.820040702819824,0.001
20.0,0.026358001070765916,1.6653607028791804,0.040417307477012616,2.930908679962158,0.001
30.0,0.020622346675361447,2.0022902252130987,0.041726816320478484,3.6413259506225586,0.001
40.0,0.014583191144708041,0.9251900395831546,0.03361849560986203,2.9014041423797607,0.0005
50.0,0.012116167408101347,0.5498238046657165,0.031874770602468995,2.804189920425415,0.0005
60.0,0.011057160797611628,0.5617218917401141,0.029569912653908577,2.532923698425293,0.0005
70.0,0.010875505973085129,0.5440188311471902,0.02959681661549898,2.230454206466675,0.0005
80.0,0.009922792653923559,0.6368899073609975,0.02570454376013151,2.094755172729492,0.0005
90.0,0.008540964845754926,0.4457316149615873,0.025728164431840148,2.021162986755371,0.0005
100.0,0.008819228755202302,2.603668456556254,0.023490187614647478,1.828136682510376,0.0005
110.0,0.00862700620335329,0.41200371520399587,0.02284678459604613,1.6017600297927856,0.0005
120.0,0.008008013522561683,0.38247694460581627,0.02236734148424895,1.7557731866836548,0.0005
