epoch,train_data_loss,train_physics_loss,validation_one_step_rmse_c,validation_rollout_rmse_c,learning_rate
1.0,8.508062188505667,170.76588175711024,0.4256197400563503,77.34427642822266,0.001
10.0,0.12831928371002316,5.741061125943099,0.06638923200010456,7.4808783531188965,0.001
20.0,0.01287405654054466,2.538621190524009,0.022451680744113224,2.2966744899749756,0.001
30.0,0.007948659897627287,1.7342122448457253,0.018302252136867248,1.7823243141174316,0.001
40.0,0.005044268101137347,0.48050403631792105,0.011717211724883752,1.0088282823562622,0.001
50.0,0.003958789291917472,0.5371678134419283,0.009851809241677592,0.8033413290977478,0.001
60.0,0.006175329260039053,1.9752734789977202,0.009502917250577109,0.7762492299079895,0.001
70.0,0.026208429892896224,1.0514524728635104,0.010900932736532847,0.8110437393188477,0.001
80.0,0.0029926942291033085,0.7293034322933801,0.008508978229729873,0.7530604600906372,0.001
90.0,0.0029167414565559866,0.2955831012670598,0.008307072891087298,0.7252795696258545,0.001
100.0,0.0031503531583818574,0.5901201243106002,0.008101324705469514,0.7432675361633301,0.001
