epoch,train_data_loss,train_physics_loss,validation_one_step_rmse_c,validation_rollout_rmse_c,learning_rate
1.0,0.974447669120062,17.304666291009813,0.6068969182740749,84.05213165283203,0.001
5.0,0.4946249444200879,1.1461159760838464,0.4199389945973018,68.44950103759766,0.001
10.0,0.23475625571750458,0.7713614402044388,0.2955074104329838,43.4367790222168,0.001
15.0,0.09031694452961286,0.7169558142026266,0.19669471611134162,26.836585998535156,0.001
20.0,0.04820589145166533,0.4580738457384564,0.14617436906411727,17.660791397094727,0.001
25.0,0.0378656978053706,0.23192347879920688,0.13149997663170973,14.644838333129883,0.001
30.0,0.033212377142338524,0.17350558798086074,0.12445114393879245,13.613606452941895,0.001
35.0,0.027478336784811246,0.2640075825396038,0.1079552357864601,12.067572593688965,0.001
40.0,0.015926724322495006,0.5094103183973403,0.08131540407575676,8.983216285705566,0.001
45.0,0.0044572423080071095,0.04933973421085448,0.040064641054696405,4.049173831939697,0.001
50.0,0.002134332177007482,0.1369015533441589,0.025560879287097493,2.383831262588501,0.001
55.0,0.0011233393312210127,0.0333608900308609,0.01994588757110333,1.8345280885696411,0.001
60.0,0.0009483860711389709,0.034944848564409076,0.018593096325351863,1.8227492570877075,0.001
