epoch,train_data_loss,train_physics_loss,validation_one_step_rmse_c,validation_rollout_rmse_c,learning_rate
1.0,5.68674071948961,405.80696949609,0.30452892269102544,29.26387596130371,0.001
10.0,0.043321690373266525,20.295386680396827,0.04793501210483595,3.6736268997192383,0.001
20.0,0.026809459158064777,1.7991755512230185,0.04572179130419444,3.208034038543701,0.001
30.0,0.017151896491589234,0.9286917272221628,0.03539429916533881,2.778823137283325,0.001
40.0,0.02862839095265709,3.873561231510059,0.047382369987357745,3.389260768890381,0.001
50.0,0.02446733265252187,0.7758855711999547,0.030508313740291386,2.796522855758667,0.001
60.0,0.010764710580692788,0.7851643073973048,0.02798562351350925,2.522007942199707,0.001
70.0,0.019394376323806504,17.462320218951547,0.02412872467305209,2.515137195587158,0.001
80.0,0.013661494211052836,0.7069084325812498,0.025545615630417514,2.1857078075408936,0.001
90.0,0.009978627746486066,0.9018840492462099,0.02342562430259944,2.143228769302368,0.001
100.0,0.00870575770325815,12.795223822280708,0.026100604097734816,2.0599145889282227,0.001
110.0,0.008456899579902068,0.3431645826483325,0.020733876152133797,1.9398151636123657,0.001
120.0,0.007533154079985434,0.4079641349987634,0.023455327615223908,1.8180992603302002,0.001
