epoch,train_data_loss,train_physics_loss,validation_one_step_rmse_c,validation_rollout_rmse_c,learning_rate
1.0,4.831520329294978,2733.8065385855302,0.28559067483456885,26.62042808532715,0.001
10.0,0.07071862366323765,42.95328143499072,0.07168213508412327,5.73507022857666,0.001
20.0,0.02203056221130272,15.991002819252751,0.040436451262508055,3.315192699432373,0.001
30.0,0.0154136357620416,12.014857070510452,0.03565773793778132,2.8412697315216064,0.001
40.0,0.013412396903203722,11.06741250380586,0.03550175388979936,2.8405964374542236,0.001
50.0,0.017007764386423076,7.6845993130363555,0.026201651650570115,2.434248208999634,0.001
60.0,0.00995761115664911,6.046524452150559,0.029054030446974917,2.4090559482574463,0.001
70.0,0.06375903938267682,7.0854214119635035,0.04272531861889538,3.582782030105591,0.001
80.0,0.008226078096417616,4.804264125124368,0.03324312020316803,2.5675384998321533,0.001
90.0,0.007907304382778733,4.233723275173585,0.027327555079523464,2.1945013999938965,0.001
100.0,0.006248155471412141,4.01732259036031,0.02629569491863318,2.2035975456237793,0.001
110.0,0.006529922560792287,3.681490557718461,0.02566576205151641,2.331648349761963,0.001
120.0,0.007004950004971396,3.4177094030564357,0.03204759271512205,2.157356023788452,0.001
