epoch,total,pde,boundary,initial
1.0,0.6403464078903198,0.01004974264651537,0.004185496363788843,0.6261111497879028
200.0,0.029264556244015694,0.009600957855582237,0.007893376052379608,0.011770222336053848
400.0,0.005670859478414059,0.0028715801890939474,0.0016291256761178374,0.0011701537296175957
600.0,0.0017388907726854086,0.0010317288106307387,0.00047081313095986843,0.00023634880199097097
800.0,0.000942728656809777,0.0006132579874247313,0.00022742645523976535,0.00010204422142123803
1000.0,0.0005558167467825115,0.00040099184843711555,0.0001067142584361136,4.811069447896443e-05
1200.0,0.00038239502464421093,0.00029530603205785155,5.7283352361992e-05,2.9805632948409766e-05
1400.0,0.00028673134511336684,0.0002287367678945884,3.678900611703284e-05,2.1205569282756187e-05
1600.0,0.0002277201710967347,0.00018233135051559657,2.875897553167306e-05,1.662983777350746e-05
1800.0,0.00018950186495203525,0.00014408303832169622,3.0476074243779294e-05,1.4942754205549136e-05
2000.0,0.0029697560239583254,0.001223606988787651,0.0010980014922097325,0.0006481476593762636
