epoch,train_data_loss,train_physics_loss,validation_one_step_rmse_c,validation_rollout_rmse_c,learning_rate
1.0,10.352836485166808,2624.660037478885,0.6031391895191842,96.78429412841797,0.001
10.0,3.0275341858734954,1236.5559596706082,0.42276126948330234,160.08023071289062,0.001
20.0,0.5190558939366727,384.22055878510344,0.23560009326163064,46.65567398071289,0.001
30.0,0.15941798477559477,114.50244128253009,0.14725694039761045,18.58387565612793,0.001
40.0,0.036481989980549426,71.36409062565984,0.158342647776368,16.111892700195312,0.001
50.0,0.02394611698550147,46.634118796683644,0.1601119743052961,16.4078369140625,0.001
60.0,0.01794783667837446,34.512040339289484,0.15409136521336547,16.234874725341797,0.001
70.0,0.014139949127628997,27.426997231148384,0.15158096337007793,16.429988861083984,0.0005
80.0,0.010557004698627704,24.48911192610457,0.14961763513347112,16.40366554260254,0.0005
90.0,0.009425217970400242,22.13155407261204,0.14913686210002527,16.57630729675293,0.0005
100.0,0.008535784120495256,20.02783357774889,0.1481975856443085,16.681400299072266,0.00025
110.0,0.008064630597427085,19.013478480158625,0.14735633438991255,16.68470001220703,0.00025
120.0,0.007691195003084234,18.07852096557617,0.14656415621479202,16.698266983032227,0.00025
130.0,0.0074598974372084076,17.197471103152715,0.14581086117418937,16.72184944152832,0.000125
140.0,0.007224107163681372,16.734730952494854,0.14575477194209815,16.75065040588379,0.000125
150.0,0.0070820561660504015,16.310426516146272,0.14560075465391054,16.773683547973633,0.000125
160.0,0.0069472539993758135,15.874029788455447,0.1451919497511279,16.773609161376953,6.25e-05
170.0,0.006868674412269044,15.647955683115367,0.1450062567242659,16.774438858032227,6.25e-05
180.0,0.006801811187855295,15.43453943922713,0.1448515954681189,16.779386520385742,6.25e-05
190.0,0.00673669908397101,15.211426167874723,0.14468685885560642,16.785125732421875,3.125e-05
200.0,0.006699581879719689,15.098731097659549,0.1446399719767648,16.788408279418945,3.125e-05
210.0,0.006666011640147583,14.986219034968196,0.14456575123347193,16.791908264160156,3.125e-05
220.0,0.0066329991998704705,14.870235257535368,0.14447232985974637,16.79356575012207,1.5625e-05
230.0,0.006613814858467998,14.807676191587706,0.14440297250296383,16.791160583496094,1.5625e-05
240.0,0.006596562978685707,14.749784469604492,0.1444070305290917,16.79791259765625,1.5625e-05
250.0,0.0065781788699127534,14.68774907911146,0.14431806945553682,16.79367446899414,1e-05
260.0,0.006566326395683998,14.64622812528868,0.14430769977079844,16.796981811523438,1e-05
270.0,0.006554368928678938,14.605458491557354,0.14427937807382474,16.798187255859375,1e-05
280.0,0.00654247578334164,14.56431775995203,0.14424175268863657,16.797847747802734,1e-05
290.0,0.006530262585225943,14.521334895572148,0.14421475389247385,16.799543380737305,1e-05
300.0,0.006517725281820104,14.477519401344093,0.14415754232086264,16.797035217285156,1e-05
