epoch,train_data_loss,train_physics_loss,validation_one_step_rmse_c,validation_rollout_rmse_c,learning_rate
1.0,4.739645341556505,3842.4094528139326,0.28511875902056466,26.461767196655273,0.001
10.0,0.0448959578878631,27.230742658519375,0.04339741394807578,2.980548858642578,0.001
20.0,0.05822382821884855,12.63256610995554,0.04209748778796401,3.2435035705566406,0.001
30.0,0.017995769570808152,8.667942560777702,0.035874896338694805,2.9914169311523438,0.001
40.0,0.01757711062502677,7.298066132961553,0.04098982726894337,3.4261510372161865,0.0005
50.0,0.011054175708831278,6.618935921569588,0.030232192472983394,2.5145304203033447,0.0005
60.0,0.009754787324334433,6.224677087349321,0.029085374850476294,2.2638168334960938,0.0005
70.0,0.00983601253350269,5.611838919775827,0.027615598911446295,2.1774072647094727,0.0005
80.0,0.008277338809373296,4.940093595733053,0.028011555770811734,1.971228837966919,0.0005
90.0,0.007854262531580381,4.297588400675063,0.026413967092368287,1.784063458442688,0.0005
100.0,0.007338500119616281,3.851091686270872,0.022927756435107985,1.8165786266326904,0.0005
110.0,0.007044247308796322,3.422384987834798,0.022743144104908564,1.5199966430664062,0.0005
120.0,0.007102538778673152,2.990755317938374,0.022641395695039108,1.5735597610473633,0.0005
