epoch,train_data_loss,train_physics_loss,validation_one_step_rmse_c,validation_rollout_rmse_c,learning_rate
1.0,0.8584857712700253,19.31371146401905,0.4775692293677669,77.26168060302734,0.001
5.0,0.050655709703763326,0.6156833930923825,0.13064936455823783,15.937727928161621,0.001
10.0,0.021973590115706126,0.1823349573271615,0.09884281695953964,11.065818786621094,0.001
15.0,0.0018589791348647504,0.09698255643106642,0.02775371453095226,2.5972890853881836,0.001
20.0,0.0012106511881131501,0.06662356377783275,0.020684615180499747,2.0991506576538086,0.001
25.0,0.000915891713207765,0.06327394489021529,0.017238073946533903,1.606343388557434,0.001
30.0,0.0007390770336856977,0.06097644360576357,0.015405725256542364,1.4002602100372314,0.001
35.0,0.0006145067708345041,0.0540543610340073,0.02051229708938948,1.2363510131835938,0.001
40.0,0.0005248471665683956,0.0541416409441403,0.012312258077817195,0.8982025384902954,0.001
45.0,0.00046260086058949433,0.09305611322891144,0.011480412381612019,0.927631139755249,0.001
50.0,0.0008164715765908892,0.22621333983256703,0.010870124598607539,0.8418527841567993,0.001
55.0,0.0003788337608511072,0.029189054072612807,0.010240595143900065,0.757670521736145,0.001
60.0,0.00035999735200866346,0.017352519172997703,0.010264562150585937,0.8493302464485168,0.001
65.0,0.00041260856747006374,0.11138971234219415,0.010505275361796174,0.9436711668968201,0.001
70.0,0.0003470796085616928,0.05506883601631437,0.01075558630755361,1.058897614479065,0.0005
75.0,0.00031162056790448594,0.01388426667638123,0.009676068675692717,0.8376749753952026,0.0005
80.0,0.00030942486242635086,0.01573645404318259,0.009343075208583839,0.777031660079956,0.0005
