epoch,train_data_loss,train_physics_loss,validation_one_step_rmse_c,validation_rollout_rmse_c,learning_rate
1.0,0.5554249724944432,49.577860639753794,0.3232581984140993,36.934326171875,0.001
10.0,0.004048596500286034,1.3939242806888763,0.05875754527393347,4.68107795715332,0.001
20.0,0.0022415204157476267,0.1921171092391014,0.05225522598658376,3.4421582221984863,0.001
30.0,0.0018177506264210456,0.12743753629922866,0.035112243328399864,3.061357021331787,0.001
40.0,0.0015435979737057572,0.12955225169800577,0.039052705093950736,3.2240710258483887,0.001
50.0,0.001531049732307327,0.2696598373367673,0.027801065261517002,2.852201461791992,0.001
60.0,0.0012100223310602207,0.13025061676119054,0.03540045025357678,3.2513368129730225,0.001
70.0,0.002135533825061949,0.11084677519542831,0.03096104158122639,2.7135050296783447,0.001
80.0,0.000971516167611948,0.05515621637233666,0.02305764439971521,2.5354292392730713,0.001
90.0,0.0009371411658912188,0.04447303210269837,0.029009681038983427,2.6976048946380615,0.001
100.0,0.0009850411173510586,0.04402667342552117,0.022357616652679203,2.26265811920166,0.001
110.0,0.004212315806764223,0.13972670066072826,0.024237248022468624,2.217794895172119,0.001
120.0,0.0008322136751930451,0.058546548220373335,0.02135731997743397,2.049663543701172,0.001
