epoch,train_data_loss,train_physics_loss,validation_one_step_rmse_c,validation_rollout_rmse_c,learning_rate
1.0,0.9471899636586507,251.60191202799479,0.6036250266043114,96.85894775390625,0.001
5.0,0.627243035475413,240.95234232584636,0.40624289018820225,62.713565826416016,0.001
10.0,0.2935233468214671,109.24209364827475,0.3909612056718462,129.34039306640625,0.001
15.0,0.10626714718341827,104.26700602213542,0.3557058532033347,123.84629821777344,0.001
20.0,0.04769931843876839,34.3782116800944,0.2294027122701759,48.56111145019531,0.001
25.0,0.028853165179491044,16.868967778523764,0.16092516036285368,25.218181610107422,0.001
30.0,0.014727743484079838,11.387191858927409,0.1457294808709155,18.316171646118164,0.001
35.0,0.005813456448415915,8.852714764912923,0.1470043811146991,16.086748123168945,0.001
40.0,0.003560379338761171,6.893162349700928,0.16279082798330746,16.47955894470215,0.001
45.0,0.0028900497580567996,5.559985764821371,0.16352834234301453,16.7470760345459,0.001
50.0,0.0022361479805161556,4.484359743754069,0.16179707708544805,16.736846923828125,0.0005
55.0,0.0019454445398102203,4.0793260510762535,0.15986695067519252,16.648277282714844,0.0005
60.0,0.0017653880678117275,3.799633150100708,0.15894819173007335,16.66106414794922,0.0005
65.0,0.001603135198665162,3.5551233240763347,0.15979566318016505,16.89866065979004,0.00025
70.0,0.0015251726172864437,3.4190834407806396,0.15858639102987637,16.840600967407227,0.00025
75.0,0.0014512153199563423,3.3132632382710776,0.15759260346519838,16.80340576171875,0.00025
80.0,0.0013800934435178836,3.197921739578247,0.1576695750845284,16.89211082458496,0.000125
85.0,0.0013350403805573782,3.138849709192912,0.15735919843261278,16.905359268188477,0.000125
90.0,0.0013035426565135518,3.08591107749939,0.15717981438803505,16.92255210876465,0.000125
95.0,0.0012765067772318919,3.0304123071034748,0.1565630867345798,16.895998001098633,6.25e-05
100.0,0.001252512759839495,3.0011517715454104,0.15685242777378547,16.955589294433594,6.25e-05
