epoch,train_data_loss,train_physics_loss,validation_rollout_rmse_c,learning_rate
1.0,1.437723043923867,0.0,17.84602165222168,0.0008
5.0,0.022896384783732068,0.0,6.30587911605835,0.0008
10.0,0.02253851852507428,0.0,5.124842166900635,0.0008
15.0,0.01229429457154507,0.0,6.120632648468018,0.0008
20.0,0.012884865664052825,0.0,5.509005546569824,0.0008
25.0,0.011824009996282574,0.0,5.0500359535217285,0.0008
30.0,0.01095208357608844,0.0,8.450240135192871,0.0008
35.0,0.007222185612317757,0.0,6.399008750915527,0.0008
40.0,0.011179998234871593,0.0,5.9729790687561035,0.0004
