epoch,train_data_loss,train_physics_loss,validation_one_step_rmse_c,validation_rollout_rmse_c,learning_rate
1.0,10.49221719130586,255.24682274306602,0.5603422414463497,62.54922103881836,0.001
10.0,2.588344224171289,6.91521086453471,0.2814159954567995,25.729236602783203,0.001
20.0,0.6687460602250338,4.363557478267714,0.14072529463679184,10.956136703491211,0.001
30.0,0.1597980281330904,3.2035763110893574,0.0932027965924937,7.22711706161499,0.001
40.0,0.11135336783746955,2.6064591347020567,0.0852112175283878,6.769276142120361,0.001
50.0,0.09093958046215381,3.042901579477612,0.08241365259562056,6.27155876159668,0.001
60.0,0.07071492980345796,2.1725428130175617,0.06839069646361567,5.389795780181885,0.001
70.0,0.05818751933894562,1.9686562068213826,0.0648924695861031,4.51382303237915,0.001
80.0,0.05059194050182707,2.2718745040157127,0.06530895509880048,3.9853577613830566,0.001
90.0,0.050896536774616905,1.8158820365846848,0.051522378122321036,3.3663859367370605,0.001
100.0,0.05521048374732949,1.6388547713231856,0.05412334530033995,4.09916353225708,0.001
110.0,0.0431750005679241,1.5061460413988033,0.04623063242639884,2.725062847137451,0.001
120.0,0.03558362405675258,1.5261119059153965,0.04318922049268366,2.997436285018921,0.001
