epoch,train_data_loss,train_physics_loss,validation_one_step_rmse_c,validation_rollout_rmse_c,learning_rate
1.0,4.809737759483367,2662.2296255693473,0.30141722284610123,28.277982711791992,0.001
10.0,0.02931814393654293,35.93986042862233,0.045690504150826095,4.145791530609131,0.001
20.0,0.03249310381768063,19.50266551382293,0.0391693154722619,3.651073694229126,0.001
30.0,0.015538345509600685,13.559602598241858,0.03460959789165122,3.404705047607422,0.001
40.0,0.012199278368567868,10.567519757554338,0.02820526441393404,3.0260260105133057,0.001
50.0,0.01836534192692129,8.391594115739624,0.04244838426846043,3.8688440322875977,0.001
60.0,0.0107637794508552,6.434697299942547,0.034032875271227885,2.936645269393921,0.001
70.0,0.010182064906855809,5.703494577886515,0.03566516016188686,3.0422139167785645,0.001
80.0,0.019195502395220245,4.921159999803226,0.02882923120596301,2.680819511413574,0.001
90.0,0.006826592629423012,4.134083620093504,0.024761254406781508,2.3573529720306396,0.001
100.0,0.010730983482306989,3.6253827581074245,0.027072745156641268,2.797816753387451,0.001
110.0,0.010246692459426216,3.9619194866607548,0.03206247313119716,2.5340933799743652,0.001
120.0,0.01563490467167614,3.1902540854965857,0.04457027729049043,3.498427152633667,0.0005
